"Gene","Module"
"ARHGAP11B","black"
"EXOC3L1","purple"
"SNW1","darkred"
"PPM1M","black"
"ARL15","turquoise"
"HPGDS","honeydew1"
"CC2D2B","orangered4"
"DDX39B","turquoise"
"CCNT1","brown"
"MPV17","turquoise"
"KBTBD4","grey60"
"FAM86B2","orangered4"
"FSBP","lightyellow"
"TOMM5","blue"
"PLAGL2","green"
"UBE3C","brown"
"TSPAN17","turquoise"
"ZNHIT6","green"
"LACTB2","darkmagenta"
"PLCB3","green"
"PTGR2","skyblue"
"RAP1A","violet"
"NAGLU","cyan"
"GPRIN3","lightyellow"
"SPEF1","brown"
"MPP3","lightyellow"
"TOPBP1","lightgreen"
"TAS2R38","tan"
"KCTD6","blue"
"UTP14C","red"
"C6orf89","darkred"
"WWC1","darkgrey"
"KRT82","maroon"
"CCK","magenta"
"RP11-685N3.1","blue"
"DIAPH2","pink"
"GNPTG","lightcyan"
"CLRN1","grey"
"HPS1","pink"
"SLC17A1","darkorange"
"ENO3","turquoise"
"METTL22","turquoise"
"TACR3","turquoise"
"ABCC12","blue"
"MED17","lightyellow"
"LST3","maroon"
"TRIM68","purple"
"ZNF479","tan"
"DAZAP2","midnightblue"
"NPIPB4","grey"
"RANGAP1","salmon"
"DDX46","salmon"
"C17orf105","grey"
"PJA2","salmon"
"RGS7BP","pink"
"GTF2H1","black"
"MYC","black"
"CTNS","tan"
"HMGN5","black"
"AL669831.1","grey"
"FRS3","saddlebrown"
"SLC7A1","darkred"
"FOXH1","turquoise"
"KRT16","blue"
"ITPR3","skyblue"
"RALGAPA1","blue"
"NLGN4Y","grey"
"CILP","greenyellow"
"FUT9","brown"
"CNPY4","midnightblue"
"TOX3","violet"
"CLEC11A","grey60"
"PSMC4","steelblue"
"RP11-817J15.3","yellow"
"RYR3","lightyellow"
"KLF9","blue"
"SH3RF3","brown"
"GEMIN2","steelblue"
"MLKL","purple"
"NIPSNAP1","red"
"ASCC2","ivory"
"SYNGR2","floralwhite"
"SSNA1","red"
"ZDHHC2","brown"
"MTERFD2","turquoise"
"TMEM192","mediumpurple3"
"ZNF609","orange"
"C6orf106","purple"
"METTL15","floralwhite"
"IFNA5","darkorange2"
"PGAP3","pink"
"PFN4","black"
"PROX1","turquoise"
"TPM1","grey"
"MYH1","midnightblue"
"ITM2B","greenyellow"
"DOLK","blue"
"GATA2","skyblue"
"ECT2","black"
"GUCY1A3","lightcyan"
"GOLGA8I","purple"
"SLC50A1","turquoise"
"DHX29","blue"
